ID_wyp	Data_wyp	ID_filmu	Pesel
1	2010-09-01	BB2005	82030192835
2	2010-09-09	CD2007	78062657877
3	2010-09-09	DD1983	77012657444
4	2010-09-10	AC2003	87100788765
5	2010-09-11	CD2008	70120675819
6	2010-09-12	DD2007	87100488725
7	2010-09-13	BF1999	84092799822
8	2010-09-14	AA2000	79122889753
9	2010-09-14	AB2006	90030999856
10	2010-09-14	AA2000	73092076849
11	2010-09-14	BB2001	79101010977
12	2010-09-14	BB1999	47032598027
13	2010-09-14	AC2000	65082890067
14	2010-09-14	AB1999	89022908766
15	2010-09-15	BB2001	73050412326
16	2010-09-16	BB1999	65082890107
17	2010-09-17	AC2000	90051902315
18	2010-09-18	AC1994	81042277655
19	2010-09-19	NN1994	88022685932
20	2010-09-20	AM2010	89122489714
21	2010-09-21	BB2009	83081788913
22	2010-09-22	AS1999	95082036587
23	2010-09-23	AB2000	88030422354
24	2010-09-24	BB2003	87080799825
25	2010-09-25	AA1994	80072765543
26	2010-09-26	BB2009	76122675877
27	2010-09-26	DC1999	49060987956
28	2010-09-27	AA1995	88022685902
29	2010-09-28	BB1991	90010488986
30	2010-09-29	AA1998	84091751933
31	2010-09-30	AB2001	88111299954
32	2010-10-01	AA2006	73082076855
33	2010-10-01	NK2005	78061600937
34	2010-10-01	AC1992	90051902315
35	2010-10-01	BB2004	75082822346
36	2010-10-01	CD2002	90051902315
37	2010-10-02	DD2009	85102809896
38	2010-10-03	AC1997	89040987715
39	2010-10-04	CD2002	79022707767
40	2010-10-05	DD2002	70120675818
41	2010-10-06	BF1990	47032598048
42	2010-10-07	AA2003	65092490015
43	2010-10-07	AB2009	79112889763
44	2010-10-07	AA2006	82072709846
45	2010-10-07	AC2007	89122589754
46	2010-10-07	AC2007	79111590986
47	2010-10-08	CD2008	82070688964
48	2010-10-09	CD2002	81060188946
49	2010-10-10	DD1999	84072555426
50	2010-10-11	AC2000	73022098738
51	2010-10-12	CD2009	79032587649
52	2010-10-13	DD2003	91052687735
53	2010-10-14	BF2004	90112738475
54	2010-10-15	AA2002	89021744366
55	2010-10-16	AB2007	88032678854
56	2010-10-17	AA2007	86102376554
57	2010-10-18	AC2003	80070324566
58	2010-10-19	AC2008	89122009428
59	2010-10-20	AS2010	79032778646
60	2010-10-21	CD2004	81070188996
61	2010-10-22	DD2005	79092776545
62	2010-10-23	AC2008	86070376599
63	2010-10-24	CD2004	71032675523
64	2010-10-25	DD1999	53070987066
65	2010-10-26	BF2001	57101566451
66	2010-10-27	AA1993	89122589754
67	2010-10-28	AB2003	73082776855
68	2010-10-28	AA2007	79052009768
69	2010-10-29	AC2001	78062600932
70	2010-10-30	AC1979	65092890062
71	2010-10-31	BH2004	56070576888
72	2010-11-02	CD1986	77121098865
73	2010-11-03	DD1978	79040554576
74	2010-11-04	AC2008	79072587659
75	2010-11-04	CD2001	84091751923
76	2010-11-04	DD1987	82030192845
77	2010-11-04	BF2008	80070324546
78	2010-11-04	AA2005	79030778655
79	2010-11-05	AB2005	79021766553
80	2010-11-06	AC2005	79063009468
81	2010-11-07	AW2010	90030999826
82	2010-11-08	AC2008	89101774688
83	2010-11-08	BB2005	80072765563
84	2010-11-08	CD2007	95082778926
85	2010-11-08	DD1983	79012776558
86	2010-11-08	AC2003	77012657439
87	2010-11-09	CD2008	82070688934
88	2010-11-10	DD2007	87121987686
89	2010-11-11	BF1999	91050687765
90	2010-11-12	AA2000	58073022657
91	2010-11-13	AB2006	89122889704
92	2010-11-14	AZ2009	86112376544
93	2010-11-15	BH2004	73050512356
94	2010-11-15	BB1999	89121744366
95	2010-11-15	AC2000	89022908736
96	2010-11-15	BH2004	79052707768
97	2010-11-15	BB1999	79022776533
98	2010-11-15	AC2000	89123009458
99	2010-11-15	BF2008	79092009769
100	2010-11-15	AA2005	83081788913
101	2010-11-16	AB2005	78062657877
102	2010-11-17	AC2005	77012657444
103	2010-11-18	AC2010	87100788765
104	2010-11-19	AC2008	70120675819
105	2010-11-20	BB2005	87100488725
106	2010-11-21	AC2000	84092799822
107	2010-11-22	AC1992	79122889753
108	2010-11-23	BD2005	90030999856
109	2010-11-23	CD2002	73092076849
110	2010-11-23	DD2009	79101010977
111	2010-11-23	AC1997	47032598027
112	2010-11-23	CD2002	65082890067
113	2010-11-24	DD2002	89022908766
114	2010-11-25	BF1990	73050412326
115	2010-11-26	BC2009	65082890107
116	2010-11-27	AB2009	89022489744
117	2010-11-28	BC2009	81042277655
118	2010-11-29	DD1978	88022685932
119	2010-11-30	AC2008	89122489714
120	2010-12-01	BD2005	83081788913
121	2010-12-01	AA2003	95082036587
122	2010-12-02	AB2009	88030422354
123	2010-12-03	AA2006	87080799825
124	2010-12-03	AC2007	80072765543
125	2010-12-03	AB1994	76122675877
126	2010-12-03	AC2000	49060987956
127	2010-12-03	CD2002	88022685902
128	2010-12-03	DD1999	90010488986
129	2010-12-04	AC2000	84091751933
130	2010-12-05	CD2009	88111299954
131	2010-12-06	DD2003	73082076855
132	2010-12-07	BF2004	78061600937
133	2010-12-08	AA2002	90051902315
134	2010-12-09	AB2007	75082822346
135	2010-12-09	AA2007	89122589754
136	2010-12-09	AC2003	85102809896
137	2010-12-10	AC2008	89040987715
138	2010-12-11	AA2003	89122589754
139	2010-12-12	AB2009	70120675818
140	2010-12-13	AA2006	47032598048
141	2010-12-14	AB1994	76113098062
142	2010-12-15	AC2007	66030685027
143	2010-12-16	BD2005	95052768528
144	2010-12-16	CD2002	95082778956
145	2010-12-17	DD1999	73029098768
146	2010-12-17	AL2010	90110899884
147	2010-12-17	CD2009	79100445687
148	2010-12-17	DD2003	80062465997
149	2010-12-17	BF2004	65072490045
150	2010-12-17	AA2002	76022675847
151	2010-12-18	AB2007	59092098710
152	2010-12-19	AA2007	79032778615
153	2010-12-20	AC2003	79062009767
154	2011-01-02	DD2002	76103098037
155	2011-01-03	BF1990	81020799097
156	2011-01-04	AA2003	70100775818
157	2011-01-06	AB2009	82052148795
158	2011-01-06	AA2006	83080122395
159	2011-01-07	AC2007	89100899833
160	2011-01-08	AC2007	82072709836
161	2011-01-09	BB2004	81102454687
162	2011-01-10	AA2003	71022675598
163	2011-01-11	AB2009	81062099545
164	2011-01-12	AS2010	95052768598
165	2011-01-13	AC2007	83081788923
166	2011-01-14	AC2007	79040112365
167	2011-01-15	BB2004	92032487685
168	2011-01-16	CD2002	66032684427
169	2011-01-17	DD1999	82070688934
170	2011-01-17	AC2000	87121987686
171	2011-01-19	CD2009	91050687765
172	2011-01-21	AC2008	58073022657
173	2011-01-21	AB2007	89122889704
174	2011-01-22	AA2007	86112376544
175	2011-01-23	AC2003	73050512356
176	2011-01-24	AK2010	89121744366
177	2011-01-25	BB2005	89021744366
178	2011-01-26	CD2004	79052707768
179	2011-01-26	DD2005	79022776533
180	2011-01-26	CD2004	89123009458
181	2011-02-02	AC2008	79092009769
182	2011-02-02	NK2005	82030192835
183	2011-02-03	AX2009	78062657877
184	2011-02-03	AB1994	77012657444
185	2011-02-03	AB1994	87100788765
186	2011-02-06	BB2005	70120675819
187	2011-02-07	CD2004	87100488725
188	2011-02-08	DD2005	84092799822
189	2011-02-09	AB1994	79122889753
190	2011-02-10	CD2004	90030999856
191	2011-02-10	DD1999	73092076849
192	2011-02-10	BF2001	79101010977
193	2011-02-10	AA1993	47032598027
194	2011-02-10	AB2003	65082890067
195	2011-02-10	AA2007	89022908766
196	2011-02-10	AC2001	73050412326
197	2011-02-10	AC1979	65082890107
198	2011-02-10	BB1997	89022489744
199	2011-02-10	CD1986	81042277655
200	2011-02-10	DD1978	88022685932
201	2011-02-10	AC2008	89122489714
202	2011-02-10	CD2001	83081788913
203	2011-02-23	DD1987	95082036587
204	2011-02-24	BF2008	88030422354
205	2011-02-25	AL2010	87080799825
206	2011-02-26	AM2010	80072765543
207	2011-02-27	NK2005	76122675877
208	2011-02-28	AX2003	49060987956
209	2011-03-01	AB1994	88022685902
210	2011-03-02	AC2008	90010488986
211	2011-03-03	BB2005	84091751933
212	2011-03-03	CD2004	88111299954
213	2011-03-03	DD2005	73082076855
214	2011-03-03	AC2008	78061600937
215	2011-03-07	AE2008	90051902315
216	2011-03-07	BC2004	75082822346
217	2011-03-07	BF2001	89122589754
218	2011-04-07	AA1993	85102809896
219	2011-04-07	AH2000	89040987715
220	2011-04-07	AX2003	89122589754
221	2011-05-07	AC2001	70120675818
222	2011-05-07	AC1979	47032598048
223	2011-05-07	BB1997	76113098062
224	2011-05-07	CD1986	66030685027
225	2011-05-07	DD1978	95052768528
226	2011-06-07	AC2008	95082778956
227	2011-06-08	BD2005	73029098768
228	2011-06-09	BB2005	90110899884
229	2011-06-10	CD2007	79100445687
230	2011-06-11	DD1983	80062465997
231	2011-06-12	AC2003	65072490045
232	2011-06-13	CD2008	76022675847
233	2011-06-14	DD2007	59092098710
234	2011-06-15	BF1999	79032778615
235	2011-06-16	AA2000	79062009767
236	2011-06-16	AB2006	76103098037
237	2011-06-16	AA2000	81020799097
238	2011-06-19	BB2001	70100775818
239	2011-06-21	BB1999	82052148795
240	2011-06-21	AZ2009	83080122395
241	2011-06-22	AB1999	89100899833
242	2011-06-24	BB2001	82072709836
243	2011-06-24	BB1999	81102454687
244	2011-06-25	AC2000	71022675598
245	2011-06-26	AC1994	81062099545
246	2011-06-28	NN1994	95052768598
247	2011-06-28	AB1994	83081788923
248	2011-06-28	BB2009	79040112365
249	2011-06-30	AS1999	92032487685
250	2011-07-01	AB2000	66032684427
251	2011-07-01	BB2003	73052776846
252	2011-07-01	AA1994	79101889775
253	2011-07-04	BB2009	84072555466
254	2011-07-04	DC1999	57091566457
255	2011-07-06	AA1995	89121774628
256	2011-07-08	BB1991	56070476895
257	2011-07-08	NN2006	89122589754
258	2011-07-09	AB2001	80070324566
259	2011-07-10	AA2006	89122009428
260	2011-07-11	AC2000	79032778646
261	2011-07-12	AC1992	81070188996
262	2011-07-13	BB2004	79092776545
263	2011-07-13	CD2002	86070376599
264	2011-07-15	DD2009	71032675523
265	2011-07-16	AC1997	53070987066
266	2011-07-18	CD2002	57101566451
267	2011-07-18	DD2002	79022009768
268	2011-07-19	BD2005	73082776855
269	2011-07-20	AA2003	79052009768
270	2011-07-21	AB2009	78062600932
271	2011-07-22	AA2006	65092890062
272	2011-07-22	AC2007	56070576888
273	2011-07-22	AC2007	77121098865
274	2011-07-22	AW2010	79040554576
275	2011-07-26	CD2002	79072587659
276	2011-07-28	DD1999	84091751923
277	2011-07-28	AC2000	82030192845
278	2011-07-29	CD2009	80070324546
279	2011-07-30	DD2003	79030778655
280	2011-07-31	BF2004	79021766553
281	2011-08-01	AA2002	79063009468
282	2011-08-02	AB2007	90030999826
283	2011-08-03	AZ2009	89101774688
284	2011-08-04	AC2003	80072765563
285	2011-08-05	AC2008	95082778926
286	2011-08-06	BB2005	79012776558
287	2011-08-07	CD2004	77012657439
288	2011-08-08	DD2005	82070688934
289	2011-08-09	AL2010	87121987686
290	2011-08-10	CD2004	91050687765
291	2011-08-10	DD1999	58073022657
292	2011-08-13	BF2001	89122889704
293	2011-08-13	AA1993	86112376544
294	2011-08-14	AB2003	73050512356
295	2011-08-15	AA2007	89121744366
296	2011-08-16	AC2001	89022908736
297	2011-08-17	AC1979	49060987956
298	2011-08-19	BB1997	79022776533
299	2011-08-19	CD1986	89123009458
300	2011-08-20	DD1978	79092009769
301	2011-08-21	AC2008	82030192835
302	2011-08-22	BD2005	78062657877
