IDucznia;nazwisko;imie;ulica;dom;IDklasy
1;Baczynska;Danuta;Kiedrzynska;42;1a
2;Berdysowa;Maria;Wyzwolenia;80;1a
3;Byczkowska;Ewa;Ludowa;83;1a
4;Cygan;Aneta;Sportowa;89;1a
5;Cygan;Henryka;Sportowa;88;1a
6;Czarnoleska;Aneta;Fieldorfa;39;1a
7;Derda;Beata;Porajska;79;1a
8;Frukacz;Anna;Kiedrzynska;95;1a
9;Gnutek;Ewa;Kiedrzynska;15;1a
10;Jeziak;Maciej;Starzynskiego;39;1a
11;Kamil;Magdalena;Ksiezycowa;70;1a
12;Kasperczyk;Bartosz;Fieldorfa;82;1a
13;Kedzierska;Barbara;Kiedrzynska;39;1a
14;Konieczna;Beata;Mickiewicza;41;1a
15;Kowalski;Adam;Kopernika;34;1a
16;Luft;Ewa;Wodzickiego;68;1a
17;Majewska;Krystyna;Mireckiego;28;1a
18;Paciepnik;Karolina;Starzynskiego;39;1a
19;Patryarcha;Krystyna;Kiedrzynska;70;1a
20;Prusko;Zbigniewa;Sejmowa;97;1a
21;Pustul;Dorota;Broniewskiego;92;1a
22;Radzikowska;Monika;Partnerska;4;1a
23;Romianowska;Magdalena;PCK;73;1a
24;Sielecka;Katarzyna;Wyzwolenia;18;1a
25;Sobczyk;Genowefa;Mehoffera;84;1a
26;Spracel;Maria;Kiedrzynska;28;1a
27;Szymocha;Magda;Kwiatkowskiego;21;1a
28;Turlejska;Olga;Lechonia;90;1a
29;Wojtak;Joanna;Kiedrzynska;15;1a
30;Woldanski;Adam;Kiedrzynska;65;1a
31;Bednarczyk;Irena;Mickiewicza;3;1b
32;Bednarska;Barbara;Lechonia;7;1b
33;Bialek;Iwona;Kopernika;2;1b
34;Biczyska;Beata;Mehoffera;77;1b
35;Dawidson;Grazyna;Armii Krajowej;17;1b
36;Dobosz;Arkadiusz;Sportowa;97;1b
37;Dudek;Grzegorz;Iwaszkiewicza;44;1b
38;Falana;Anna;Sejmowa;5;1b
39;Kaleta;Hanna;Mehoffera;15;1b
40;Koscielniak;Ewa;Kiedrzynska;70;1b
41;lapaj;Iwona;Broniewskiego;88;1b
42;Malecka;Zbigniewa;Nadrzeczna;54;1b
43;Messyasz;Ilona;Fieldorfa;58;1b
44;Miekina;Agnieszka;Mickiewicza;69;1b
45;Nowakowski;Jan;Lechonia;85;1b
46;Pluta;Magdalena;Baczynskiego;56;1b
47;Plusa;Barbara;Kiedrzynska;6;1b
48;Rykala;Ewelina;Okulickiego;81;1b
49;Rys;Magdalena;Mehoffera;5;1b
50;Sikora;Zofia;Broniewskiego;33;1b
51;Sikorska;Agnieszka;PCK;32;1b
52;Stan;Beata;Wodzickiego;51;1b
53;Staniec;Zofia;Bacewicza;66;1b
54;Stefanska;Anna;Lechonia;61;1b
55;Wawrzyn;Magdalena;Ludowa;46;1b
56;Wasowicz;Joanna;Armii Krajowej;71;1b
57;Wisniewska;Celina;PCK;39;1b
58;Wolowiec;Alina;Mickiewicza;21;1b
59;Zarebska;Jolanta;Wyzwolenia;94;1b
60;Bartecka;Katarzyna;Poniatowskiego;93;1c
61;Biel;Ewa;Ludowa;83;1c
62;Bieniek;Jan;Starzynskiego;22;1c
63;Chiluta;Ewa;Wodzickiego;77;1c
64;Gonerska;Olga;Porajska;6;1c
65;Grudzinska;Teresa;Starzynskiego;10;1c
66;Jackowska;Bozenna;Kiedrzynska;40;1c
67;Kabala;Malenta;Wyzwolenia;19;1c
68;Klekowska;Magdalena;Iwaszkiewicza;99;1c
69;Klubicka;Irena;Starzynskiego;85;1c
70;Kosno;Jozefa;Gajcego;89;1c
71;Kromolowska;Iwona;Ludowa;95;1c
72;Kucharska;Mariola;Mireckiego;7;1c
73;Kwiecinska;Alicja;Starzynskiego;15;1c
74;Matuszewska;Ewa;Okulickiego;18;1c
75;Misiak;Urszula;Armii Krajowej;27;1c
76;Nocun;Monika;Kwiatkowskiego;5;1c
77;Paca;Ewelina;Mickiewicza;86;1c
78;Pakulska;Katarzyna;Wyzwolenia;71;1c
79;Pietrzyk;Hanna;Iwaszkiewicza;89;1c
80;Rodek;Zbigniew;Poniatowskiego;20;1c
81;Sielecka;Urszula;Porajska;6;1c
82;Smela;Anna;Mehoffera;89;1c
83;Szczepanska;Barbara;Iwaszkiewicza;35;1c
84;Trzepizur;Irena;Waszyngtona;7;1c
85;Turek;Lidia;Wyzwolenia;99;1c
86;Wachowicz;Magdalena;Bacewicza;94;1c
87;Witczak;Krystyna;Kiedrzynska;52;1c
88;Wlodarek;Mariola;Iwaszkiewicza;83;1c
89;Zielinska;Magdalena;Gajcego;74;1c
90;Bartnik;Jozef;Porajska;36;1d
91;Biedron;Lidia;Mickiewicza;41;1d
92;Bolek;Anna;Porajska;99;1d
93;Browarska;Iwona;Fieldorfa;6;1d
94;Brzezinska;Renata;Kiedrzynska;89;1d
95;Drzewiecka-Switala;Lidia;Kwiatkowskiego;39;1d
96;Dyga;Grazyna;Fieldorfa;89;1d
97;Iwanczak;Beata;Kosmiczna;53;1d
98;Korbel;Teresa;Worcella;100;1d
99;Kowal;Marzena;Kosmiczna;66;1d
100;Kozlowska;Jolanta;Mireckiego;74;1d
101;Krzysztofik;Magdalena;Lechonia;12;1d
102;Kubat;Olga;Baczynskiego;89;1d
103;Ledwon;Anna;Schillera;62;1d
104;Lysek;Monika;Iwaszkiewicza;99;1d
105;Misiak;Magdalena;Wyzwolenia;7;1d
106;Mrozek;Dorota;Gajcego;22;1d
107;Mulica;Ewa;Schillera;30;1d
108;Pisarek;Agnieszka;Ludowa;27;1d
109;Popczyk;Dorota;Kiedrzynska;96;1d
110;Saboczynska;Magdalena;Sejmowa;6;1d
111;Sobalska;Maria;Gajcego;86;1d
112;Sobol;Maria;Nadrzeczna;40;1d
113;Witczak;Izabela;Gajcego;41;1d
114;Wojciechowska;Mariola;Sejmowa;31;1d
115;Zawada;Beata;Wyzwolenia;64;1d
116;Zyta;Magdalena;Kiedrzynska;20;1d
117;Augustyniak;Jan;Starzynskiego;50;1e
118;Baranowska;Ewelina;Armii Krajowej;12;1e
119;Bator;Ewelina;Armii Krajowej;99;1e
120;Bednarek;Iwona;Ksiezycowa;68;1e
121;Berezinski;Janina;Armii Krajowej;89;1e
122;Derbis;Jolanta;Kwiatkowskiego;64;1e
123;Drozdz;Arkadiusz;Baczynskiego;100;1e
124;Gebus;Jolanta;Waszyngtona;92;1e
125;Gora;Dorota;Nadrzeczna;44;1e
126;Hutton;Eliza;Mehoffera;89;1e
127;Konarska;Monika;Waszyngtona;4;1e
128;Kosta;Barbara;Iwaszkiewicza;5;1e
129;Kuc;Dorota;Mehoffera;48;1e
130;Linke;Anna;Ksiezycowa;45;1e
131;Mulica;Ewa;Poniatowskiego;63;1e
132;Niedbala;Joanna;Waszyngtona;73;1e
133;Niewiadomska;Iwona;Kwiatkowskiego;82;1e
