"LP";"NUMER";"IMIE";"NAZWISKO";"ULICA";"MIASTO";"URODZONY";"ZAM";"SZKOLA";"ROCZNIK";"PLEC";"OLIMPIADA";"EGZAMIN";"OCENA";"POCH";"ZDAL";"PRZYJETY";"AKADEMIK";"STOLOWKA";"PUNKTY";"DOCHOD"
1,00;189,00;"Agnieszka";"Kuku³a";"Gostkowice 18";"Czêstochowa";1974-2-15 00:00:00;"W";"LO";1994,00;"K";"N";"G";4,00;"R";"tak";"tak";"T";"T";17,00;1134,90 z³
2,00;188,00;"Bo¿ena";"Szymczyk";"Armii Ludowej 34";"Czêstochowa";1972-12-28 00:00:00;"M";"LO";1994,00;"K";"N";"M";4,00;"R";"tak";"tak";"T";"T";5,00;807,10 z³
3,00;414,00;"Joanna";"Madej";"Milkow 117";"Kielce";1974-8-9 00:00:00;"W";"LO";1994,00;"K";"T";"H";4,50;"R";"tak";"tak";"T";"T";6,00;641,40 z³
4,00;373,00;"Urszula";"Jerzak";"Malyszyn Dolny 25";"Kielce";1976-10-31 00:00:00;"W";"LO";1994,00;"K";"T";"B";4,50;"I";"tak";"tak";"T";"T";5,00;1268,40 z³
5,00;246,00;"Iwona";"Klimek";"Dziurow 148";"Kielce";1971-6-23 00:00:00;"W";"LO";1994,00;"K";"N";"G";3,50;"I";"tak";"nie";"N";"T";13,00;1357,30 z³
6,00;29,00;"Magdalena";"Szura";"Polna 27";"Kielce";1972-1-2 00:00:00;"M";"LO";1994,00;"K";"T";"F";3,00;"I";"tak";"nie";"T";"T";12,00;905,10 z³
7,00;247,00;"Monika";"Krzysztoñ";"Murarska 4/16";"Kielce";1976-7-18 00:00:00;"M";"LO";1994,00;"K";"N";"G";2,00;"I";"nie";"nie";"N";"T";15,00;416,70 z³
8,00;276,00;"Ma³gorzata";"Hudzik";"Rogi 335";"Krosno";1971-3-12 00:00:00;"W";"LO";1994,00;"K";"T";"B";4,50;"I";"tak";"tak";"T";"T";4,00;1308,90 z³
9,00;249,00;"Jerzy";"Janas";"Dolna 29";"Krosno";1976-1-23 00:00:00;"M";"LO";1993,00;"M";"N";"B";4,50;"R";"tak";"tak";"T";"T";3,00;697,20 z³
10,00;180,00;"Wioletta";"Przes³awski";"Jankowce 83";"Krosno";1976-10-17 00:00:00;"M";"LO";1994,00;"K";"N";"C";4,50;"R";"tak";"tak";"T";"T";5,00;543,00 z³
