pesel	nazwisko	imiÍ	id_klasy	j_pol	mat	biol	inf	z_wyroznieniem	hum	mat-przyr
88012503526	ABRAMOWSKI	PAWE≥	4	4	4	5	6	TAK	37	46
88052113202	AKSJON”W	KAROLINA	3	5	3	5	5	NIE	38	48
88010612709	ANDREJCZUK	URSZULA	1	5	6	5	5	TAK	45	46
88120707119	ANDREJCZUK	JOANNA	4	4	4	4	5	TAK	32	35
88052517129	ANDREJUK	NATALIA	2	4	5	5	5	TAK	40	43
88061416079	ARASIMOWICZ	RAFA£	2	4	5	5	5	TAK	33	44
88080411954	ARKO—SKI	MACIEJ	4	4	5	4	6	NIE	40	46
88011112772	AROZOW	KRZYSZTOF	4	3	3	4	5	NIE	32	48
88040710974	ARTYSIEWICZ	SZCZEPAN	3	6	5	5	6	TAK	36	43
88061209617	BADURA	SZYMON	2	5	4	5	5	NIE	33	36
88052808487	BAJENA	URSZULA	2	5	5	4	6	TAK	37	45
88051906179	BAKUNOWSKI	PAWE£	4	5	5	6	5	TAK	29	49
88063010387	BANCAREWICZ	PATRYCJA	3	4	5	6	6	TAK	27	35
88040108786	BARG£OWSKA	MARTYNA	3	6	6	5	5	TAK	44	45
88091910279	BEDNARSKI	MICHA£	3	4	6	4	6	TAK	29	49
88062215409	BEREZA	DOMINIKA	4	5	4	6	6	TAK	29	30
88110312336	BIEGA—SKI	£UKASZ	3	4	5	5	5	TAK	38	48
88100207549	BIELAWSKA	KAROLINA	4	5	5	5	5	TAK	35	39
88121314543	BIESZKE	URSZULA	3	5	5	5	5	TAK	38	46
88110810087	BOJCZUK	MONIKA	1	5	5	5	5	TAK	31	32
88071206929	BO£TRUCZYK	KAMILA	3	5	5	6	5	TAK	34	33
88041112706	BORKOWSKA	KATARZYNA	4	6	6	6	6	TAK	39	41
88060612643	BRZOZOWSKA	MAGDALENA	2	6	6	5	5	TAK	40	49
88040116558	BRZOZOWSKI	PAWE£	4	4	5	5	4	TAK	30	41
88031915768	BUDKA	ANNA	4	6	4	5	6	TAK	34	35
88082708506	BUWAJ	PAULA	2	5	5	4	6	TAK	36	38
88072510124	CHANIEWSKA	KATARZYNA	3	6	5	6	5	TAK	41	47
88022715390	CHANIEWSKI	ANDRZEJ	2	4	5	5	4	TAK	30	41
88031717832	CHARYTONIUK	KAROL	4	5	4	4	5	TAK	37	39
88061011632	CHOCIEJ	MACIEJ	4	4	5	5	6	TAK	29	45
88082506357	CHOJNOWSKI	ANDRZEJ	4	4	5	5	6	NIE	38	44
88122710027	CHOMONIUK	IZABELA	2	5	5	6	6	TAK	31	31
88072309409	CHRZANOWSKA	ANNA	1	5	5	5	5	TAK	44	45
88103009540	CHRZANOWSKA	MAGDA	2	4	5	6	5	TAK	33	30
88061913935	CICHOCKA	KATARZYNA	3	5	5	5	5	TAK	30	44
88050313284	CYLKO	AGATA	2	5	5	5	6	TAK	35	37
88041813140	CYLKOWSKA	ILONA	2	6	5	5	6	TAK	35	33
88112911106	CZACZKOWSKA	NATALIA	4	5	5	5	5	TAK	42	40
88021212930	CZAJKOWSKI	KAROL	3	5	6	5	5	TAK	40	46
88062315355	CZAJKOWSKI	DAWID	2	5	5	5	5	TAK	34	40
88042117571	CZARNECKI	DAWID	1	5	5	5	5	TAK	32	46
