Imiê_i_nazwisko;PESEL;liczba_osób_w _rodzinie;dochód
Pawe³ Ma³gorzewicz;95053066651;2;3603
Jerzy ŒŒmietanka;95081120792;5;3969
Adam Abramczyk;94022419214;4;2213
Karol Adam;95070485956;3;3104
Irena Adamczyk;95102779587;3;1007
Karolina Adamczyk;95072117220;5;1281
Krzysztof Adamczyk;97111986419;2;667
Piotr Adamczyk;96090582973;3;1148
Ewa Adamiec;96060504763;5;2605
Jan Adamiec;95091876434;3;1813
Jan Adamiec;97011414456;2;841
Witold Adamiec;96110918353;4;2605
Jolanta Adamowicz;96112121566;4;4129
Adam Adamowicz;96041741138;5;791
Jan Adamowicz;97112302173;2;4308
Karolina Adamska;96050582740;4;4294
Jerzy Adamski;95122871618;2;3707
Pawe³ Adamski;95051494474;3;2018
Ryszard Adamski;97070221190;4;3879
Ma³gorzata Adamus;96050278940;5;2588
Adam Adamus;95121410452;5;3077
Wiktor Adamus;96101824834;4;1951
Ewa Aderek;97070687680;5;1329
Karol Aderek;97112926274;3;3353
Joanna Albert;96070241304;5;1634
Jerzy Albert;96030428435;6;942
Barbara Aleksander;97051224220;2;1182
Krzysztof Aleksander;94061198334;6;3626
Piotr Aleksander;95100626591;5;3001
Barbara Aleksandrowicz;95100664942;4;1293
Krystyna Aleksandrowicz;94063051503;2;1752
Micha³ Aleksandrowicz;95070858576;5;2726
Zofia Alot;94021928366;5;2159
Adam Alot;96022516571;5;3389
Krzysztof Alot;97060113252;4;4328
Arkadiusz Amanowicz;96120454395;4;2369
Anna Andrzejewska;95042786403;6;1788
Barbara Andrzejewska;97052408764;4;2086
Adam Andrzejewski;98062021091;3;3741
Jerzy Andrzejewski;96103103256;2;654
Jolanta Antczak;95040113386;4;3739
Jerzy Antczak;96011023774;3;3607
Marian Antoni;95040922193;5;3607
Krystyna Antonkiewicz;96082426726;4;1621
Zofia Antonkiewicz;94120486187;4;3527
Agnieszka Antos;98042852828;6;833
Hanna Antos;96050494588;6;1705
Karolina Antos;96021024561;3;2772
Adam Antos;95072277911;3;1710
Krystian Antos;96072877873;5;1371
Mieczys³aw Antos;96122961138;2;1349
Wies³aw Antos;96091403637;6;3155
Krystyna Arak;96060626140;3;1674
Karol Arak;95022191896;4;3416
Halina Aronowska;96101536265;6;3615
Adam Aronowski;94010484136;3;1035
Wies³aw Aronowski;97102052152;5;2704
Zofia Augustyn;96062655108;5;2884
Barbara Augustyniak;97091525585;2;2613
Piotr Augustyniak;97051518017;5;2642
Anna Babiarz;94021610128;5;3560
